Label,max_area,mean_landfalling_area,cumulative_landfalling_area,duration,max_south_extent,region,max_T2M_anomaly_ais,max_IWV_ais,max_IWV_anomaly_ais,max_ocean_SLP_gradient,cumulative_rainfall_ais,cumulative_snowfall_ais,avg_landfalling_minomega,max_landfalling_v850hPa,max_vIVT_ais
1981_25,1385109,343485,343485,24,-74.5,East 1,16.349166870117188,6.864923000335693,4.34734582901001,7.826450895627135,0.0,0.544617991127333,-0.4727643937264328,35.78318786621094,147.93896484375
1981_27,772939,15183,20876,33,-69.5,East 2,16.590957641601562,10.212308883666992,7.244409561157227,4.115512571804968,0.0001665986279253672,0.2141436214452512,-0.47477689144361,32.68802261352539,206.61993408203125
1981_28,975152,251023,94133,9,-77.5,East 1,17.721603393554688,7.271900177001953,4.620416164398193,5.179398556650284,0.0,0.31392579819796446,-1.4213573009684208,31.551767349243164,184.14923095703125
1981_31,1614388,589960,1179921,48,-85.0,West,27.521163940429688,11.490503311157228,6.383651256561279,2.887035494182528,2.138521011348045e-06,1.839952389883266,-0.5721985857499551,27.231124877929688,276.894775390625
1981_34,1531513,253534,31691,3,-72.5,West,11.89007568359375,10.210068702697754,5.398505687713623,8.46528874244489,0.00012265295298597359,0.2178777171215001,-0.6139220337917775,36.75290298461914,244.457275390625
1981_35,2028198,12219,12219,24,-73.5,West,20.34727478027344,10.402198791503906,5.627021312713623,6.140193386395424,0.0,0.09467172012711178,-1.1526787162561507,36.15111923217773,193.8135986328125
1981_36,3351512,1030496,3864360,90,-85.0,East 1,29.3951416015625,11.760204315185549,9.695062637329102,8.6505544231196,0.0,2.6251370490696004,-0.7989206224415073,39.88954925537109,320.22381591796875
1981_37,673844,191099,47774,6,-72.0,East 2,11.99468994140625,9.55154800415039,6.9219746589660645,6.438750337301712,0.0,0.2176537864815048,-0.7501241174510093,28.14291381835937,166.48904418945312
1981_38,1181730,266482,299792,27,-79.0,West,25.231353759765625,10.995661735534668,6.814948081970215,6.904050320752303,0.0020447347995765,0.680498129299838,-0.896000490141186,28.473608016967773,245.50498962402344
1981_39,1468509,993990,372746,9,-85.0,East 1,22.934234619140625,5.151911735534668,2.8828725814819336,4.524527015048791,0.0,0.14656106373984734,-0.2686933349433289,33.02476119995117,69.22206115722656
1981_40,1666595,658406,740706,27,-85.0,East 1,25.364898681640625,9.920453071594238,7.483267784118652,4.8519428838731935,0.0,0.7482708879472038,-0.6729058833916981,28.82334899902344,196.54486083984372
1981_41,1633248,1301550,488081,9,-85.0,East 2,27.30322265625,9.786375999450684,6.749734878540039,4.358980262012288,0.0,1.1799764159508057,-0.480424397602724,24.2827205657959,211.9068298339844
1981_42,872056,345217,474673,33,-85.0,West,23.192047119140625,9.092787742614746,5.758430480957031,3.89111410622645,0.0,0.9973381047042436,-1.431444526580276,32.07623672485352,251.47901916503903
1981_43,1816043,550,825,36,-70.0,East 1,5.459274291992188,4.242870807647705,2.172104835510254,6.829470655709377,0.0,0.002198694106638276,-0.6318477153778076,37.646820068359375,49.725364685058594
1981_44,2659561,330341,289049,21,-85.0,East 1,19.265060424804688,7.402600765228271,5.137060165405273,3.91369198427884,0.0,0.3425874761888644,-0.5485976383179784,19.966007232666016,142.58578491210938
1981_45,1030987,60351,37719,15,-69.5,East 2,18.177536010742188,8.442239761352539,6.08348274230957,7.634881197505672,0.0,0.14446538723621577,-0.7657010690681878,39.40672302246094,141.83602905273438
1981_46,1138919,213,346,39,-69.0,East 1,2.10040283203125,4.043116569519043,1.9453067779541016,7.298241711769648,0.0,0.0055886787337072865,-0.9131591916084292,29.704896926879883,68.71228790283203
1981_47,1142452,350838,438548,30,-85.0,West,19.18519592285156,8.688901901245117,4.50108528137207,4.4542224476857175,0.0,0.562865149960495,-1.264927991171091,35.739871978759766,275.2740783691406
1981_48,1323529,56612,77842,33,-71.5,East 2,17.084869384765625,10.753348350524902,8.002066612243652,5.321691371386062,8.903591939238157e-05,0.6183196711958066,-0.7709877486659329,30.66094970703125,157.21890258789062
1981_49,1042892,852465,106558,3,-78.5,East 2,37.097930908203125,8.578571319580078,5.859221458435059,3.917020949230209,5.579750908958395e-06,0.4173636186811798,-0.309884167827303,20.230846405029297,89.42662811279297
1981_52,322046,122048,15256,3,-82.0,East 2,18.23837280273437,3.7257022857666016,2.2553482055664062,3.481412073731818,0.0,0.011600777281788112,-0.3195539887670267,14.459080696105955,34.202884674072266
1981_53,456373,194122,24265,3,-73.0,East 2,20.447830200195312,8.463006973266602,6.325456619262695,6.564735614375168,0.0,0.19689446186780868,-0.8479193728744794,22.86532974243164,157.7711181640625
1981_54,1054847,198007,222758,27,-85.0,West,20.936782836914062,6.923510551452637,4.651493072509766,4.275262508586726,0.0,0.2619155231766204,-0.6788544599345647,27.257173538208008,128.47488403320312
1981_55,3000202,533247,999839,45,-85.0,West,31.64849853515625,15.54893398284912,11.408501625061035,5.928407158986476,0.035376503326519565,2.213735659345233,-0.9452009432656392,37.49247360229492,527.6948852539062
1981_56,1581963,98031,73523,18,-74.5,East 1,7.529495239257812,4.282900333404541,2.193082809448242,10.265061345071658,0.0,0.15868510084816487,-0.6839965094472147,27.97712135314941,91.50594329833984
1981_57,1348470,906613,113326,3,-77.5,East 2,22.39710998535156,9.728334426879885,6.975039482116699,6.458475373826074,0.0,0.6663123513992493,-0.2987929206786678,21.15923500061035,152.4790802001953
1981_58,2712056,1546241,2705922,42,-85.0,East 2,28.64385986328125,10.458806991577148,8.087398529052734,5.152146503351058,0.0,1.7223602706251608,-0.4996026883479201,29.595176696777344,229.2944793701172
1981_59,1257402,637487,956231,36,-84.5,East 1,21.694000244140625,5.522166252136231,3.4616904258728027,7.297066391170373,0.0,0.6001835998911665,-0.9119895698179536,28.21385383605957,104.5697250366211
1981_60,2328500,1669411,1460734,21,-85.0,East 2,22.795074462890625,10.70305633544922,7.71565580368042,4.999341648721988,0.0,0.8953728646012157,-0.1838267714911795,23.63552474975586,214.26470947265625
1981_61,2308569,3390,4238,30,-66.0,West,6.84356689453125,14.84479808807373,8.835487365722656,4.39589485559869,5.061504394328448e-07,0.020201943662695714,-0.5292867763851155,35.58974838256836,305.6485290527344
