date	temp2m	ewvf	swvf	latitude	longitude
2001-06-22	-60.40715	1.5403247	-1.4912844	-75.0	123.0
2001-06-23	-62.258698	-0.018030465	-0.7962866	-75.0	123.0
2001-06-24	-57.220734	-1.1011834	1.674417	-75.0	123.0
2001-06-25	-53.620987	-1.5484891	3.5562158	-75.0	123.0
2001-06-26	-52.24138	-1.9563549	2.8405387	-75.0	123.0
2001-06-27	-51.342987	-2.9365792	1.6582334	-75.0	123.0
2001-06-28	-52.393295	1.1170676	1.0945029	-75.0	123.0
2001-06-29	-55.66301	4.607975	1.6681235	-75.0	123.0
2001-06-30	-50.779266	3.6652668	1.4685252	-75.0	123.0
2001-07-01	-53.234634	2.3454747	-1.0048757	-75.0	123.0
2001-07-02	-53.731262	4.2741795	0.21519136	-75.0	123.0
2001-07-03	-54.425293	3.713364	2.4161675	-75.0	123.0
2001-07-04	-51.862747	2.304111	2.0817056	-75.0	123.0
2001-07-05	-58.55098	2.0972922	0.11539221	-75.0	123.0
2001-07-06	-60.44803	2.7100527	-0.14714241	-75.0	123.0
2001-07-07	-59.13861	3.2410479	0.22238398	-75.0	123.0
2001-07-08	-62.037384	2.4753375	-0.5427427	-75.0	123.0
2001-07-09	-58.57103	5.517977	-0.23525333	-75.0	123.0
2001-07-10	-49.401215	7.8949494	3.2028728	-75.0	123.0
2001-07-11	-42.497818	8.26049	9.661946	-75.0	123.0
2001-07-12	-50.048218	7.067675	-1.9767938	-75.0	123.0
2001-07-13	-57.15056	1.6711495	-0.8457365	-75.0	123.0
2001-07-14	-52.11183	2.3512464	-2.7329297	-75.0	123.0
2001-07-15	-50.183945	0.21283692	-4.0572915	-75.0	123.0
2001-07-16	-50.260284	-2.6172128	-2.8614998	-75.0	123.0
2001-07-17	-56.722565	-0.62020963	-1.6621118	-75.0	123.0
2001-07-18	-57.510696	2.4291642	-0.34044695	-75.0	123.0
2001-07-19	-59.022156	2.94573	-0.4510355	-75.0	123.0
2001-07-20	-59.12703	0.468715	-1.4751005	-75.0	123.0
2001-07-21	-58.766907	-0.37683693	0.2691369	-75.0	123.0
2001-07-22	-58.124527	-0.3095006	0.46693707	-75.0	123.0
2001-07-23	-55.29901	-0.99152136	0.43816614	-75.0	123.0
2001-07-24	-55.67688	0.57837695	0.54695606	-75.0	123.0
2001-07-25	-60.218216	1.4624069	-0.24154711	-75.0	123.0
2001-07-26	-62.069	0.81020635	-1.4148617	-75.0	123.0
2001-07-27	-62.106018	0.6649522	-1.4085679	-75.0	123.0
2001-07-28	-67.19333	1.3671741	-0.9931874	-75.0	123.0
2001-07-29	-54.08676	5.015841	3.529243	-75.0	123.0
2001-07-30	-42.12535	10.592251	15.287561	-75.0	123.0
2001-07-31	-32.592316	14.431384	27.46216	-75.0	123.0
2001-08-01	-31.56128	3.236238	16.076065	-75.0	123.0
2001-08-02	-46.109924	0.9958622	1.792198	-75.0	123.0
2001-08-03	-50.58725	2.5388262	0.2826233	-75.0	123.0
2001-08-04	-51.51033	3.16313	1.5107825	-75.0	123.0
2001-08-05	-44.872986	3.860542	5.2635903	-75.0	123.0
2001-08-06	-45.149063	3.8336074	-0.47980642	-75.0	123.0
2001-08-07	-53.560837	1.7731159	-0.26402426	-75.0	123.0
2001-08-08	-61.43434	1.5788026	0.34466076	-75.0	123.0
2001-08-09	-53.411224	4.2010713	1.8946946	-75.0	123.0
2001-08-10	-51.44246	1.4729884	1.5979943	-75.0	123.0
2001-08-11	-58.021973	1.0747418	-0.2793088	-75.0	123.0
2001-08-12	-65.32405	1.3152289	-0.06802225	-75.0	123.0
2001-08-13	-68.700165	1.0564649	0.39950514	-75.0	123.0
2001-08-14	-61.915543	1.0333781	0.8391609	-75.0	123.0
2001-08-15	-63.047592	1.9799347	0.08032751	-75.0	123.0
2001-08-16	-65.344864	2.1223028	-0.2550335	-75.0	123.0
2001-08-17	-63.52957	1.2796369	-0.1048851	-75.0	123.0
2001-08-18	-67.25426	0.7890435	0.13786983	-75.0	123.0
2001-08-19	-60.001526	-0.93957627	1.0279703	-75.0	123.0
2001-08-20	-60.50818	0.27151573	0.21429253	-75.0	123.0
2001-08-21	-67.61284	0.92467815	-0.7369466	-75.0	123.0
2001-08-22	-66.03659	1.6269	-0.008682251	-75.0	123.0
