cluster,is_landfalling,max_area,mean_area,mean_landfalling_area,cumulative_landfalling_area,duration,start_date,end_date,max_south_extent,max_T2m_ais,avg_V10m_ais,max_V10m_ais,avg_V10m,max_V10m,avg_IWV_ais,max_IWV_ais,avg_IWV,max_IWV,landfalling_SLP,max_T2M_anomaly_ais,avg_vIVT_ais,max_vIVT_ais,avg_vIVT,max_vIVT,cumulative_rainfall_ais,cumulative_snowfall_ais
2859.0,True,775756.6711971018,737945.6002711478,5024.507839049446,1884.190439643542,9.0,1995-08-26 15:00:00,1995-08-26 21:00:00,-69.5,254.66000366210938,-2.478073851294651,1.8810622692108154,11.968279727141152,17.491146087646484,3.618926425708893,4.0038933753967285,13.09158897349108,27.771879196166992,95430.765625,3.0562896728515625,65.79793648521508,72.94329833984375,266.1908632278925,762.6229248046875,0.0,77193105588.03867
2861.0,True,891631.3171804171,818972.3725637452,3759.2305580669436,3289.326738308576,21.0,1995-08-30 21:00:00,1995-08-31 15:00:00,-67.0,254.95294189453125,-6.204715886237766,-0.0,18.7048793906032,24.454858779907227,3.00659149385424,3.887188196182251,13.963778216255577,31.006202697753906,96010.84375,4.422821044921875,34.10212507281756,49.483646392822266,400.5522154254099,810.7137451171875,0.0,198118022978.45013
2862.0,True,926564.9374138503,926564.9374138503,576062.3651720801,72007.79564651001,3.0,1995-08-31 06:00:00,1995-08-31 06:00:00,-79.5,250.72894287109375,-1.2999107859380243,6.024138927459717,1.5719014783820724,13.231170654296875,0.7052323103736959,2.7388603687286377,5.017918848894827,15.228117942810059,97360.984375,21.83203125,8.024542897141625,35.336952209472656,97.86530681953884,330.9494323730469,0.0,646231693553.3132
2863.0,True,1143815.60409167,1035268.4908490343,803562.5986317787,301335.97448691697,9.0,1995-09-02 03:00:00,1995-09-02 09:00:00,-85.0,253.16500854492188,-1.394432860854609,6.198083877563477,-1.348707642126142,10.517979621887207,0.6896394692909759,3.405482053756714,1.6663372649687265,10.143657684326172,98776.75,16.32666015625,5.954311044551965,32.65479278564453,20.266271649611443,198.08914184570312,0.0,254953161612.2492
2864.0,True,967172.6441160396,892846.2137374644,175996.79571794652,197996.39518268983,30.0,1995-09-02 03:00:00,1995-09-03 06:00:00,-73.5,272.5238952636719,0.19534037770799514,12.583111763000488,11.182591727623311,21.642980575561523,3.3263777150892184,10.494288444519043,10.16654432508735,18.74428939819336,96153.0,17.204879760742188,65.36079934403793,253.50942993164062,248.9415934161219,549.1778564453125,0.0,8356033333837.427
2871.0,True,1420350.6682822278,1142902.6413357724,114016.49955376406,156772.68688642557,33.0,1995-09-18 09:00:00,1995-09-19 15:00:00,-73.0,263.50439453125,-10.616778397475159,-0.0,11.007073429414914,23.039480209350586,3.8264878680987864,8.8450288772583,17.19361035943086,35.032527923583984,95701.3125,18.849456787109375,53.00297135848246,131.29835510253906,395.569280225097,766.2988891601562,0.0,4033955887527.5874
2874.0,True,1609960.4298936059,1182030.4639228662,223613.26824996306,447226.5364999261,48.0,1995-09-24 06:00:00,1995-09-26 03:00:00,-76.5,271.50048828125,-2.2932722011824556,12.364013671875,11.466304410323632,21.617998123168945,3.233911168708963,10.957755088806152,12.571095570402637,20.2825984954834,95450.2421875,19.541717529296875,57.78655571354278,184.23220825195312,316.7938126252855,575.0299072265625,10896831.278511826,8530521637425.609
2877.0,True,1373520.7200994424,1198590.647700015,5918.5393987266825,5918.539398726682,39.0,1995-10-01 15:00:00,1995-10-03 03:00:00,-71.0,275.5678405761719,10.91536658286574,13.534353256225586,12.487501272086472,20.1345272064209,8.99290851474862,11.116551399230957,20.437931545593024,36.85530090332031,95566.703125,12.13641357421875,150.9850009086534,199.6408233642578,378.8324978817085,805.6831665039062,22968901538.209553,459495765290.3164
2878.0,True,1340591.3067990488,1011578.1208350569,150177.89742158464,506850.4037978481,123.0,1995-10-06 12:00:00,1995-10-11 12:00:00,-82.5,275.5694580078125,8.346916454320821,23.054500579833984,12.34848257085372,23.054500579833984,7.616543794371946,13.108766555786133,13.351311952288087,25.096792221069336,96082.203125,19.0550537109375,142.57943199858974,344.3748779296875,281.6707720240509,535.837646484375,34633206171.92154,9464465438263.996
2882.0,True,3725652.423199492,2735747.4762128326,241612.0327917729,453022.56148457417,45.0,1995-10-11 21:00:00,1995-10-13 15:00:00,-74.5,262.89862060546875,-4.091478535775065,14.707488059997559,12.211781506539827,26.37939453125,2.2321832023846824,6.015308380126953,20.256650693872917,49.092384338378906,92653.71875,9.39031982421875,37.190411563232786,146.2652587890625,497.11805735818695,1359.252197265625,0.0,4422848372510.317
2892.0,True,1261326.358030672,1059847.1076325935,4402.963212542729,4953.333614110569,27.0,1995-11-02 09:00:00,1995-11-03 09:00:00,-66.0,267.7840576171875,-3.5193876532752593,1.0947034358978271,12.56713723944145,19.469329833984375,7.320237172558012,8.74697208404541,17.274701406233774,29.283601760864258,95994.7578125,1.6455078125,96.31296847708005,126.77982330322266,369.1504929162871,659.2783203125,0.0,292330832271.6136
2895.0,True,2000194.9104762757,1174404.2579698463,337402.37005684257,590454.1475994746,63.0,1995-11-18 03:00:00,1995-11-20 15:00:00,-85.0,275.30963134765625,1.3856067199784687,12.951855659484863,8.51699549614314,17.828950881958008,8.048085376113738,15.590944290161133,12.289165513723749,25.555627822875977,95762.296875,14.291412353515625,94.96608257575808,254.16429138183594,213.38629675294266,513.976806640625,85967337203.43195,10104611632947.291
2896.0,True,1030771.6642747603,935914.031778591,38077.06797990894,28557.800984931706,18.0,1995-11-18 15:00:00,1995-11-19 06:00:00,-69.0,266.61865234375,-3.5443022728684186,0.7826125025749207,10.734594759190626,16.852388381958008,6.030556850777238,9.806962013244629,16.821342583373717,25.803503036499023,97130.0703125,5.3684539794921875,67.54656950656081,126.36421966552734,325.46208360508047,510.1970520019531,0.0,1741637745878.4924
2901.0,True,1471104.847341768,1309554.6416062904,452338.35824908235,169626.8843434059,18.0,1995-12-07 06:00:00,1995-12-07 21:00:00,-83.5,273.95843505859375,7.031995392209919,15.674379348754883,8.292287467546375,15.674379348754883,6.136922916483345,11.055471420288086,9.81380150730024,18.01876449584961,95190.8125,6.94000244140625,91.05747082028272,169.58474731445312,156.92942965933565,327.98883056640625,30837770587.57966,5409718107056.192
2902.0,True,1146167.9711142676,1027506.5450349653,54540.51497121176,68175.6437140147,30.0,1995-12-07 18:00:00,1995-12-08 21:00:00,-73.0,271.5970153808594,-2.9303913650132594,5.668122291564941,10.721178256396238,16.800260543823242,7.094498869811975,10.596141815185547,15.053727491307546,26.67666244506836,98126.0625,3.3352813720703125,56.716417543190396,128.39613342285156,254.68319447998996,513.9304809570312,0.0,1756992110250.9546
2904.0,True,1529492.0803783922,1529492.0803783922,58015.92878040381,7251.991097550476,3.0,1995-12-09 21:00:00,1995-12-09 21:00:00,-67.5,270.3599548339844,-4.154201592506065,2.522841691970825,11.174467854057228,17.324600219726562,6.316118321888014,10.712517738342285,25.71551102561373,39.73986053466797,95325.7890625,0.55096435546875,101.04098188525312,212.49127197265625,483.03323635382355,946.1676025390625,0.0,878369862964.0012
2907.0,True,946487.3953836338,884127.1894571504,147266.65978951225,36816.66494737807,6.0,1995-12-13 00:00:00,1995-12-13 03:00:00,-82.5,272.68194580078125,-0.5615449146301092,3.724813461303711,8.059491613012419,14.57612133026123,9.048279242914958,11.769606590270996,10.543254504056101,14.22822380065918,95916.546875,8.354217529296875,61.3584060444065,109.9696044921875,135.60621001400511,218.05596923828125,0.0,593722703998.4368
